"","key","fscorea","fscoreb","fscorea_fscoreb","fscoreb_fscorea","away_win","home_win","teamaspread","overunder","teambspread","teama_vegas_fscore","teamb_vegas_fscore","scorea","scoreb","timeleft","teama","teamb","scorea_scoreb","date","scoreb_scorea","pct_complete","pct_left","cf1","cf2","teama_adj_fscore","teamb_adj_fscore","pfscoreb_pfscorea"
"60","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,9,12,43.9333333333,"cha","tor",-3,2016-04-05,3,8.47222222229167,91.5277777777083,1.56575025143884,0.0208122052529153,98.9260416665984,105.587152777707,6.66111111110833
"61","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,25,35,32.1,"cha","tor",-10,2016-04-05,10,33.125,66.875,6.10278197697354,0.104310310668289,90.7046875,103.3796875,12.675
"62","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,72,83,4.96666666667,"cha","tor",-11,2016-04-05,11,89.6527777777708,10.3472222222292,16.895329606616,1.2953005484656,82.1661458333402,93.5800347222293,11.4138888888892
"63","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,44,58,21.6833333333,"cha","tor",-14,2016-04-05,14,54.8263888889583,45.1736111110417,10.3862126808215,0.24314585622549,88.3830729165984,104.19001736104,15.8069444444417
"64","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,66,75,10.05,"cha","tor",-9,2016-04-05,9,79.0625,20.9375,9.77625803868423,0.424463339430943,86.57109375,96.40859375,9.83749999999999
"65","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,9,12,43.6833333333,"cha","tor",-3,2016-04-05,3,8.993055555625,91.006944444375,1.57021201959216,0.0209671448213326,98.4143229165984,105.054600694373,6.64027777777501
"66","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,37,49,26.65,"cha","tor",-12,2016-04-05,12,44.4791666666667,55.5208333333333,8.03429332652415,0.159413145524308,91.54921875,105.770052083333,14.2208333333333
"67","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,2,3,47.1833333333,"cha","tor",-1,2016-04-05,1,1.70138888895834,98.2986111110417,0.503668453519352,0.00632284505046736,98.5783854165984,103.51032986104,4.93194444444167
"68","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,44,60,20.1166666667,"cha","tor",-16,2016-04-05,16,58.0902777777083,41.9097222222917,12.3208626616995,0.306323556857485,85.1763020834016,102.852690972293,17.6763888888917
"69","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,2,4,47,"cha","tor",-2,2016-04-05,2,2.08333333333333,97.9166666666667,1.00929466537873,0.0127098397843534,98.203125,104.119791666667,5.91666666666666
"70","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,66,75,9.5,"cha","tor",-9,2016-04-05,9,80.2083333333333,19.7916666666667,10.0518406791742,0.456650763160865,85.4453125,95.2369791666667,9.79166666666667
"71","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,49,67,16.0166666667,"cha","tor",-18,2016-04-05,18,66.631944444375,33.368055555625,15.5223050524466,0.463386133566215,81.7841145834015,101.118836805627,19.334722222225
"72","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,9,12,42.4666666667,"cha","tor",-3,2016-04-05,3,11.5277777777083,88.4722222222917,1.59248391181532,0.0217512198196223,95.9239583334016,102.462847222293,6.53888888889166
"73","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,44,59,20.4333333333,"cha","tor",-15,2016-04-05,15,57.430555555625,42.569444444375,11.4614812756892,0.281408807587225,85.8244791665984,102.527256944373,16.702777777775
"74","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,50,67,16,"cha","tor",-17,2016-04-05,17,66.6666666666667,33.3333333333333,14.6675313678478,0.43823483740631,82.75,101.083333333333,18.3333333333333
"75","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,85,93,0.65,"cha","tor",-8,2016-04-05,8,98.6458333333333,1.35416666666667,31.5816813580689,13.0310001228358,86.33046875,94.3846354166667,8.05416666666667
"76","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,35,43,27.4333333333,"cha","tor",-8,2016-04-05,8,42.8472222222917,57.1527777777083,5.27950902849266,0.102348834190876,91.1526041665984,101.438715277707,10.2861111111083
"77","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,90,94,0.1,"cha","tor",-4,2016-04-05,4,99.7916666666667,0.208333333333329,29.54195783504,67.1829196973852,90.2046875,94.2130208333333,4.00833333333333
"78","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,52,71,15.2166666667,"cha","tor",-19,2016-04-05,19,68.2986111110417,31.7013888889583,16.8065563013138,0.52279899355729,83.1466145834016,103.41467013896,20.2680555555583
"79","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,11,14,41.3,"cha","tor",-3,2016-04-05,3,13.9583333333333,86.0416666666667,1.61475571565664,0.022553168831505,95.5359375,101.977604166667,6.44166666666668
